WELLNESS_life_satisfaction,GEO_housing_household_size,WORK_hours_per_week,CONNECTION_social_num_close_friends_p3m
2,0,NA,NA
7,1,NA,3
5,1,NA,2
4,4,0,5
8,NA,30,NA
7,1,NA,4
5,0,10,1
5,0,NA,0
1,6,6,NA
6,4,10,150
7,NA,30,NA
6,6,NA,5
8,1,NA,NA
8,NA,0,NA
6,2,NA,2
9,1,NA,5
7,1,NA,NA
6,3,NA,2
5,NA,NA,NA
4,NA,0,NA
NA,NA,NA,NA
2,NA,NA,NA
NA,0,NA,NA
7,1,NA,1
1,1,NA,NA
1,3,NA,0
8,0,0,1
7,1,NA,1
9,1,NA,3
NA,NA,NA,NA
1,NA,21,NA
5,1,0,NA
8,0,18,3
2,1,NA,NA
6,1,NA,3
6,0,40,3
6,7,35,NA
3,0,0,2
2,NA,NA,NA
6,6,13,NA
7,NA,35,NA
3,1,NA,3
NA,NA,NA,NA
10,1,3,NA
7,0,NA,NA
8,3,NA,10
NA,NA,NA,NA
5,3,0,0
9,2,NA,NA
5,0,NA,7
6,1,0,2
7,3,28,NA
5,1,0,2
6,1,30,0
7,1,NA,3
6,5,NA,6
6,2,0,6
2,2,NA,3
8,1,NA,NA
9,1,5,2
5,NA,NA,NA
NA,0,NA,NA
7,2,NA,1
6,2,48,2
6,NA,NA,NA
8,NA,15,NA
6,1,37,6
NA,NA,NA,NA
2,0,NA,1
NA,NA,NA,NA
9,NA,NA,NA
7,NA,NA,NA
4,0,0,1
NA,NA,NA,NA
2,15,21,NA
1,0,0,1
3,9,0,NA
8,NA,NA,NA
9,1,0,NA
2,3,0,NA
8,NA,NA,NA
6,2,NA,NA
3,0,NA,1
8,8,8,NA
10,5,NA,NA
8,NA,18,NA
10,1,0,3
4,1,NA,NA
NA,NA,NA,NA
5,1,NA,1
9,1,30,NA
NA,1,NA,NA
6,4,0,1
5,1,0,1
8,1,NA,4
7,NA,NA,NA
10,0,0,2
6,2,2,NA
8,1,NA,0
NA,NA,NA,NA
NA,1,NA,NA
5,1,36,3
5,3,140,NA
7,1,0,0
3,NA,40,NA
3,NA,NA,NA
8,NA,NA,NA
6,3,0,3
NA,6,NA,NA
3,1,15,2
3,10,NA,NA
6,2,30,NA
5,NA,NA,NA
5,NA,NA,NA
1,4,NA,1
8,1,0,4
9,4,NA,2
NA,NA,NA,NA
2,3,NA,0
NA,NA,NA,NA
6,NA,NA,NA
9,0,NA,3
5,NA,NA,NA
10,1,NA,NA
7,NA,40,NA
6,2,NA,NA
NA,NA,NA,NA
2,0,5,NA
4,NA,40,NA
9,NA,NA,NA
7,NA,NA,NA
7,2,NA,1
5,5,40,30
2,2,0,1
10,1,NA,30
9,3,40,3
5,NA,30,NA
6,1,NA,2
7,1,NA,4
7,3,NA,5
8,1,NA,NA
6,0,0,NA
10,0,NA,2
7,2,35,2
5,5,NA,16
3,1,NA,10
NA,1,NA,NA
4,1,0,0
NA,2,NA,NA
6,2,10,0
8,1,NA,6
7,1,40,2
8,NA,3,NA
5,NA,40,NA
8,NA,40,NA
8,1,0,4
5,NA,NA,NA
10,NA,NA,NA
8,NA,35,NA
6,3,36,3
7,0,NA,2
NA,NA,NA,NA
4,1,0,3
10,2,NA,5
3,0,32,3
NA,0,NA,NA
8,1,NA,10
1,0,0,0
NA,NA,NA,NA
6,3,25,1
7,2,NA,NA
3,0,NA,0
3,3,26,3
NA,5,NA,NA
5,3,NA,0
6,0,0,0
7,1,NA,2
8,1,0,8
10,4,8,NA
7,4,35,2
9,3,NA,0
8,3,40,NA
5,NA,50,NA
8,2,0,6
9,2,45,3
8,1,NA,2
5,NA,NA,NA
3,NA,NA,NA
4,3,NA,NA
NA,NA,NA,NA
5,6,20,5
6,NA,NA,NA
NA,NA,NA,NA
6,NA,NA,NA
1,NA,NA,NA
2,0,48,NA
4,NA,NA,NA
4,NA,NA,NA
6,NA,0,NA
8,NA,35,NA
NA,3,NA,NA
5,0,NA,2
8,3,NA,2
6,NA,3,NA
8,1,NA,4
NA,NA,NA,NA
NA,NA,NA,NA
4,NA,NA,NA
4,NA,35,NA
6,3,8,NA
7,0,0,NA
6,1,35,1
NA,NA,NA,NA
3,NA,30,NA
NA,NA,NA,NA
