LONELY_dejong_emotional_social_loneliness_scale_score,WELLNESS_subjective_happiness_scale_score,CONNECTION_social_time_friends_p7d,PSYCH_relational_needs_satisfaction_scale_7pt_total_score,WELLNESS_subjective_happiness_scale_score
5,NA,6,NA,NA
0,NA,4,NA,NA
2,NA,9,NA,NA
6,NA,6,NA,NA
3,5.5,NA,NA,5.5
1,NA,3,NA,NA
4,NA,0,NA,NA
5,NA,0,NA,NA
5,2.25,NA,NA,2.25
NA,NA,NA,NA,NA
1,5.75,NA,NA,5.75
0,NA,10,NA,NA
NA,NA,NA,NA,NA
0,7,NA,NA,7
4,NA,3,NA,NA
3,NA,3,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
6,NA,NA,NA,NA
1,5,NA,NA,5
NA,NA,NA,NA,NA
2,5.25,10,NA,5.25
NA,NA,NA,NA,NA
1,NA,4,NA,NA
6,NA,NA,NA,NA
6,NA,0,NA,NA
0,NA,5,NA,NA
3,NA,1,NA,NA
0,NA,7,NA,NA
NA,NA,NA,NA,NA
5,3.25,NA,NA,3.25
6,3.5,NA,NA,3.5
1,NA,4,NA,NA
NA,NA,NA,NA,NA
2,NA,10,NA,NA
6,NA,4,NA,NA
3,5,NA,NA,5
6,NA,1,NA,NA
NA,NA,NA,NA,NA
6,4.25,NA,NA,4.25
6,5.25,NA,NA,5.25
6,NA,11,NA,NA
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
5,NA,49,NA,NA
NA,NA,NA,NA,NA
5,NA,2,NA,NA
NA,NA,10,NA,NA
5,NA,5,NA,NA
6,NA,2,NA,NA
6,4.5,NA,NA,4.5
5,NA,1,NA,NA
6,NA,0,NA,NA
6,NA,5,NA,NA
2,NA,7,NA,NA
3,NA,5,NA,NA
6,NA,10,NA,NA
NA,NA,NA,NA,NA
NA,NA,2,NA,NA
5,4,NA,NA,4
NA,NA,NA,NA,NA
4,NA,1,NA,NA
2,NA,5,NA,NA
4,4,NA,NA,4
2,5,NA,NA,5
2,NA,1,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
0,7,0,6.4,7
0,6,30,NA,6
5,NA,2,NA,NA
