WELLNESS_life_satisfaction,DEMO_household_income,WORK_hours_per_week,CONNECTION_social_num_close_friends_p3m
2,"$20,000 to $24,999",NA,NA
7,"$70,000 to $79,999",NA,3
5,"Under $5,000",NA,2
4,"$140,000 to $149,999",0,5
8,"$80,000 to $89,999",30,NA
7,Presented but no response,NA,4
5,"$20,000 to $24,999",10,1
5,"$10,000 to $14,999",NA,0
1,"$20,000 to $24,999",6,NA
6,"$35,000 to $39,999",10,150
7,"$90,000 to $99,999",30,NA
6,"$50,000 to $59,999",NA,5
8,NA,NA,NA
8,Presented but no response,0,NA
6,NA,NA,2
9,"$150,000 to $159,999",NA,5
7,NA,NA,NA
6,NA,NA,2
5,NA,NA,NA
4,Presented but no response,0,NA
NA,NA,NA,NA
2,NA,NA,NA
NA,NA,NA,NA
7,"$40,000 to $44,999",NA,1
1,NA,NA,NA
1,NA,NA,0
8,"$10,000 to $14,999",0,1
7,"$20,000 to $24,999",NA,1
9,NA,NA,3
NA,NA,NA,NA
1,"$5,000 to $9,999",21,NA
5,"$10,000 to $14,999",0,NA
8,"$40,000 to $44,999",18,3
2,NA,NA,NA
6,"$80,000 to $89,999",NA,3
6,"$50,000 to $59,999",40,3
6,"$40,000 to $44,999",35,NA
3,"$20,000 to $24,999",0,2
2,NA,NA,NA
6,"$60,000 to $69,999",13,NA
7,"$30,000 to $34,999",35,NA
3,"$20,000 to $24,999",NA,3
NA,NA,NA,NA
10,"$5,000 to $9,999",3,NA
7,NA,NA,NA
8,"$90,000 to $99,999",NA,10
NA,NA,NA,NA
5,"$35,000 to $39,999",0,0
9,NA,NA,NA
5,"$50,000 to $59,999",NA,7
6,"$30,000 to $34,999",0,2
7,"$90,000 to $99,999",28,NA
5,"$20,000 to $24,999",0,2
6,"$50,000 to $59,999",30,0
7,"$80,000 to $89,999",NA,3
6,"$150,000 to $159,999",NA,6
6,"$5,000 to $9,999",0,6
2,"$20,000 to $24,999",NA,3
8,NA,NA,NA
9,"$100,000 to $109,999",5,2
5,Presented but no response,NA,NA
NA,NA,NA,NA
7,"$100,000 to $109,999",NA,1
6,"$100,000 to $109,999",48,2
6,"$20,000 to $24,999",NA,NA
8,"$30,000 to $34,999",15,NA
6,"$120,000 to $129,999",37,6
NA,NA,NA,NA
2,"$15,000 to $19,999",NA,1
NA,NA,NA,NA
9,NA,NA,NA
7,NA,NA,NA
4,Presented but no response,0,1
NA,NA,NA,NA
2,"$5,000 to $9,999",21,NA
1,"$15,000 to $19,999",0,1
3,"Under $5,000",0,NA
8,NA,NA,NA
9,"$120,000 to $129,999",0,NA
2,"$60,000 to $69,999",0,NA
8,NA,NA,NA
6,NA,NA,NA
3,NA,NA,1
8,"$80,000 to $89,999",8,NA
10,Presented but no response,NA,NA
8,"$20,000 to $24,999",18,NA
10,"$30,000 to $34,999",0,3
4,NA,NA,NA
NA,NA,NA,NA
5,"$80,000 to $89,999",NA,1
9,"$35,000 to $39,999",30,NA
NA,NA,NA,NA
6,"$190,000 to $199,999",0,1
5,"$30,000 to $34,999",0,1
8,Presented but no response,NA,4
7,NA,NA,NA
